,time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,HRDeviceTypeId,Id,Retweet count,polarity_C,subjectivity,sentiment,highlights
0,30-04-2021 19:28,42,99,7.9,1266,92,13,3,1.39E+18,15.7628866,0.025687285,0.220360825,0.020618557,0
1,30-04-2021 19:29,42,103,6.8,1266,92,13,3,1.39E+18,80.09722222,0.123457792,0.286210317,0.388888889,-3
2,30-04-2021 19:30,42,100,6.8,1266,92,13,3,1.39E+18,15.60818713,0.206244462,0.298021147,0.286549708,0
3,30-04-2021 19:31,42,99,6.8,1266,92,13,3,1.39E+18,53.88297872,0.134042553,0.256973995,0.457446809,1
4,30-04-2021 19:32,42,98,6.8,1266,92,13,3,1.39E+18,9.964705882,0.05495671,0.150054113,0.294117647,1
5,30-04-2021 19:33,42,99,6.8,1266,92,13,3,1.39E+18,67.72,0.199949495,0.205979798,0.386666667,0
6,30-04-2021 19:34,42,100,6.8,1266,92,13,3,1.39E+18,213.3870968,0.154000838,0.190397058,0.365591398,1
7,30-04-2021 19:35,21.5,84.5,6.85,645.5,98,681.5,3,1.39E+18,7.788461538,0.209508547,0.309615385,0.346153846,0
8,30-04-2021 19:36,21.5,89.5,6.55,645.5,98,681.5,3,1.39E+18,48.04545455,0.202925562,0.36340823,0.465909091,-2
9,30-04-2021 19:37,21.5,89,6.55,645.5,98,681.5,3,1.39E+18,68.12121212,0.271572872,0.283513709,0.439393939,-3
10,30-04-2021 19:38,21.5,88.5,6.55,645.5,98,681.5,3,1.39E+18,65.90909091,0.187950938,0.387445887,0.181818182,6
11,30-04-2021 19:39,21.5,92,6.55,645.5,98,681.5,3,1.39E+18,76.85714286,0.097445114,0.427768437,0.232142857,2
12,30-04-2021 19:40,21.5,88,6.55,645.5,98,681.5,3,1.39E+18,6.52173913,0.097848709,0.225079631,0.326086957,0
13,30-04-2021 19:41,21.5,88,6.55,645.5,98,681.5,3,1.39E+18,12.02439024,0.27253194,0.354340883,0.609756098,0
14,30-04-2021 19:42,21.5,84.5,6.55,645.5,98,681.5,3,1.39E+18,5.898305085,0.138216303,0.263286925,0.271186441,1
15,30-04-2021 19:43,21.5,91,6.55,645.5,98,681.5,3,1.39E+18,104.4516129,0.196466974,0.198931132,0.483870968,4
16,30-04-2021 19:44,21.5,89,6.55,645.5,98,681.5,3,1.39E+18,3.594594595,0.151190476,0.278667954,0.378378378,0
17,30-04-2021 19:45,21.5,94.5,6.8,645.5,98,681.5,3,1.39E+18,58.31081081,0.165074003,0.316200129,0.540540541,1
18,30-04-2021 19:46,838,89.66666667,6.466666667,430.3333333,66.33333333,454.3333333,3,1.39E+18,17.63768116,0.111689096,0.141399241,0.260869565,0
